Name,Price,Rating,Reviews,Category,Region,Type,ABV,IBU,Tasting_Notes,Food_Pairing,Suggested_Glassware,Suggested_Serving_Temperature,Calories Per Serving (12 Oz),Carbs Per Serving (12 Oz),Features
Deep Ellum Brewing Co. Dallas Blonde,11.14,4.6,6,Golden / Blonde Ale,"Texas, United States",Craft,5.2%,23,"Crisp, Light, Balanced","Chicken, Mushrooms",Pint Glass,45-50° F,,,
Cayman Jack Mojito,10.99,4.5,10,Malt Liquor,"Washington, United States",,5.8%,,,,Pint Glass,35-40° F,,,
Kentucky Bourbon Barrel Ale,14.29,4.7,14,Strong Ale,"Kentucky, United States",Craft,8.2%,19,"Balanced, Malty, Oak, Strong, Vanilla","Cheese - Hard Aged, Beef",Snifter/Goblet/Chalice,50-55° F,,,
Newcastle Brown Ale,17.99,4.6,20,English Brown Ale,"California, United States",,4.7%,18,"Nutty, Malty, Caramel","Duck & Game Bird, Fish - Meaty & Oily","Pint Glass, Stein/Pub Mug",45-50° F,,,
Bud Light Seltzer Limited Edition Apple Slices Variety Pack,,,,Hard Seltzer,,Variety Pack,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
Wiseacre Tiny Bomb Pilsner,10.99,4.8,5,Pilsner,"Tennessee, United States",Craft,4.5%,39,,,Pilsner Glass,40-45° F,,,
Fruit Smash Hard Seltzer Variety Pack,19.79,4.7,34,Hard Seltzer,"Colorado, United States","Craft, Variety Pack",4.7%,,Fruity,"Dessert - Chocolate & Coffee, Dessert - Fruit, Dessert - Vanilla & Caramel, Nuts",Snifter/Goblet/Chalice,40-45° F,100,1,Gluten-Free
White Claw Hard Seltzer Strawberry,2.49,,,Hard Seltzer,"Illinois, United States",,5%,,,,Snifter/Goblet/Chalice,40-45° F,,,
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
Estrella Jalisco,10.79,4.9,9,Pilsner,Mexico,,4.5%,,,,Pint Glass,35-40° F,,,
RAR Nanticoke Nectar IPA,13.34,4.8,4,IPA,"Maryland, United States",Independent Craft Brewer,7.4%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Samuel Adams Non-Alcoholic IPA Just the Haze,11.69,4.6,12,IPA,"Massachusetts, United States","Craft, Non-Alcoholic",0.5%,35,"Balanced, Crisp, Smooth","Beef, Cheese - Hard Aged, Chicken, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
Odell Hoppy Variety Pack,22.99,,,Variety Pack Beer,"Colorado, United States","Craft, Independent Craft Brewer, Variety Pack",6%,,"Bright, Citrus, Crisp, Floral, Fresh, Fruity, Grapefruit, Hoppy, Intense, Pine, Stone Fruit",,,,,,
Breckenridge Brewery Mountain Beach,10.99,4.9,6,Sour / Wild Ale,"Colorado, United States",,6.5%,14,Guava,Fruit - Citrus,,,,,
Warsteiner Pilsner,10.99,4.7,3,Pilsner,Germany,Craft,4.8%,28,"Light, Grainy, Dry, Balanced","Nuts, Cured Meats",Pilsner Glass,40-45° F,,,
"Smirnoff Seltzer Red, White and Berry",18.99,4.3,26,Hard Seltzer,"Illinois, United States",Seasonal,4.5%,,"Berry, Cherry, Citrus, Fruity",,Snifter/Goblet/Chalice,40-45° F,90,1,Gluten Reduced
TRULY Vodka Soda Pineapple & Cranberry,11.37,,,Hard Seltzer,"Massachusetts, United States",,5%,,"Pineapple, Dark Fruit, Crisp, Light","Beef, Chicken, Salads & Greens",,,110,4,"Gluten Reduced, Gluten-Free"
New Belgium Mountain Time Premium Lager,13.99,4.7,3,American-Style Lager,"Colorado, United States","Craft, Sustainable",4.4%,15,"Crisp, Light","Fruit - Citrus, Mushrooms, Root Vegetables, Salads & Greens",Pint Glass,40-45° F,130,10,Kosher
Seagram's Escapes Strawberry Daiquiri,5.99,4.7,9,Malt Liquor,"New York, United States",,3.2%,,,,Pint Glass,35-40° F,,,
Offshoot Beer Co. Relax [it's just a hazy IPA],15.99,4.7,11,New England / Hazy IPA,"California, United States",Craft,6.8%,50,"Fruity, Tropical",Fish - White,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Abita Amber,10.99,4.7,8,Amber / Vienna Lager,"Louisiana, United States","Craft, Independent Craft Brewer",4.5%,17,"Caramel, Malty, Light","Pork, Cured Meats","Pint Glass, Pilsner Glass",45-50° F,,,
ANXO Cidre Blanc,12.99,4.8,2,Cider,"Washington, United States","Craft, Independent Craft Brewer",6.9%,,"Acidic, Bright, Dry",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,155,5,Gluten-Free
Victory Kick Back Can Pack,17.59,4.7,1,Variety Pack Beer,"Pennsylvania, United States","Craft, Variety Pack",9.5%,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Stone Hazy IPA,12.05,,,New England / Hazy IPA,,"Craft, Independent Craft Brewer",6.7%,35,Citrus,,Snifter/Goblet/Chalice,45-50° F,,,
Dogfish Head Beer Off-Centered Variety Pack,20.99,4.2,1,Variety Pack Beer,"Delaware, United States","Craft, Seasonal, Variety Pack",5.5%,,"Citrus, Hoppy, Crisp","Beef, Chicken, Pork","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Abita Strawberry Lager,16.99,4.6,6,Fruit Beer,"Louisiana, United States",Craft,4.2%,13,"Flavored, Light, Crisp, Berry","Chicken, Fruit - Sweet","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Flying Embers Pineapple Chili Hard Kombucha,4.99,4.4,4,Hard Kombucha,United States,,6.8%,,"Fresh, Pineapple, Spicy, Tropical Fruit",,,,130,0.0001,Organic
Flying Embers Sweet & Heat Variety Pack Hard Seltzer,12.99,4.5,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Citrus, Crisp, Fresh, Fruity, Guava, Pineapple, Spicy, Watermelon",,Snifter/Goblet/Chalice,40-45° F,,,Organic
Flying Embers Botanicals & Bitters Variety Pack Hard Seltzer,29.99,4.6,4,Hard Seltzer,"California, United States",Variety Pack,5%,,"Bright, Cherry, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical Fruit",,Snifter/Goblet/Chalice,40-45° F,95,0,Organic
Sol Chelada,3.63,4.5,8,Fruit Beer,Mexico,,3.5%,,,,,45-50° F,,,
Bronx Brewery World Gone Hazy,16.79,4.6,1,New England / Hazy IPA,"New York, United States",,7%,35,"Balanced, Bready, Citrus, Grassy, Stone Fruit, Tropical, Tropical Fruit",,Snifter/Goblet/Chalice,45-50° F,,,
Jack's Abby Variety Pack,18.99,4.8,6,Variety Pack Beer,"Massachusetts, United States","Craft, Variety Pack",,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Flying Embers Variety Pack Hard Seltzer,21.99,4.2,3,Hard Seltzer,United States,Variety Pack,5%,,"Berry, Bright, Cherry, Citrus, Floral, Fresh, Fruity, Passionfruit, Rose Petal, Tropical, Tropical Fruit, Watermelon",,Snifter/Goblet/Chalice,40-45° F,95,0,"Gluten-Free, Organic"
Avery Hazyish IPA,11.99,4.8,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,30,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
Avery Brewing Hop Pack,20.99,,,Variety Pack Beer,"Colorado, United States","Craft, Seasonal, Variety Pack",6%,,,,,,,,
Toppling Goliath King Sue,13.97,4.7,3,Imperial / Double IPA,"Iowa, United States","Craft, Independent Craft Brewer",7.8%,100,"Bold, Citrus, Fresh, Hoppy, Round, Tropical, Tropical Fruit",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Clausthaler Original Non-Alcoholic,9.49,4.7,15,Non-Alcoholic Beer,Germany,Non-Alcoholic,0.5%,29,"Biscuit, Grainy, Light","Chicken, Cured Meats",Pint Glass,35-40° F,,,Non-Alcoholic
Georgetown Brewing Lucille IPA,15.99,5,3,IPA,"Washington, United States",Craft,7%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Medalla Light,8.99,4.8,13,Pale Lager,Puerto Rico,,4.2%,10,,,Pilsner Glass,40-45° F,,,
Goose Island Bourbon County Stout,26.84,4.9,15,Stout,"Illinois, United States",Craft,12.9%,60,,,Snifter/Goblet/Chalice,45-50° F,,,
Zero Gravity Variety Pack,19.99,,,Variety Pack Beer,"Vermont, United States","Craft, Independent Craft Brewer, Variety Pack",5.7%,,"Crisp, Hoppy",,,,,,
Odell Myrcenary Double IPA,10.99,4.9,6,Imperial / Double IPA,"Colorado, United States",Craft,9.3%,70,"Malty, Hoppy, Strong, Malty","Root Vegetables, Mushrooms",Snifter/Goblet/Chalice,50-55° F,,,
"Wild Nectar Hard Juice Variety Pack, Passionfruit Lime and Strawberry Guava",17.48,,,Hard Seltzer,"Colorado, United States",Craft,5%,,"Guava, Fruity, Passionfruit","Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Dessert - Vanilla & Caramel, Root Vegetables, Salads & Greens, Fruit - Citrus, Fruit - Sweet",,,,,Gluten-Free
Bud Light Seltzer Classic Cola Hard Soda,3.59,,,Hard Seltzer,"Missouri, United States",,5%,,,,Snifter/Goblet/Chalice,40-45° F,100,,
Modelo Chelada Pina Picante Mexican Import Flavored Beer,3.99,,,Spice / Herb / Vegetable Beer,Mexico,,3.5%,,,,,,,,
Bearded Iris Homestyle,14.99,4.6,7,IPA,"Tennessee, United States",Craft,6%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Denver Beer Co. Exploration Pack,19.99,4.5,4,Variety Pack Beer,"Colorado, United States","Craft, Variety Pack",,,,,"Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",,,,
Hofbrau Hefe Weizen,3.59,4.6,3,Hefeweizen,"Pennsylvania, United States",Craft,5.1%,14,"Honey, Malty, Banana, Sweet","Cheese - Creamy & Bloomy, Duck & Game Bird",Weizen Glass,45-50° F,,,
Austin Eastciders Blackberry Cider,10.99,4.5,3,Cider,"Texas, United States","Craft, Independent Craft Brewer",5%,,"Apple, Berry, Fresh, Jammy",,,,,,"Gluten-Free, Kosher"
Weihenstephaner Original,13.99,4.9,5,Pale Lager,Germany,Craft,5.1%,21,"Bright, Bready, Balanced, Crisp","Fish - Meaty & Oily, Cheese - Stinky","Pint Glass, Stein/Pub Mug",40-45° F,,,
Natural Light Naturdays Strawberry Lemonade,11.99,4.4,12,Light Lager,"Missouri, United States",,4.2%,,"Berry, Citrus, Flavored, Light",,Pint Glass,35-40° F,120,13,
"Angry Orchard Tropical Fruit Hard Cider, Spiked",11.99,4.6,1,Cider,"New York, United States",,5.5%,,"Fruity, Passionfruit, Pineapple, Tropical, Tropical Fruit",,,,,,Gluten-Free
"Milwaukee's Best Ice Beer, American Lager",5.38,4.4,2,American-Style Lager,"Wisconsin, United States",,5.9%,,,,Pint Glass,35-40° F,,,
Heavy Seas Double Cannon Double IPA,12.49,4.8,2,Imperial / Double IPA,"Maryland, United States","Craft, Independent Craft Brewer",9.5%,90,"Hoppy, Pine",,"Pint Glass, Snifter/Goblet/Chalice",50-55° F,,,
Stormalong Cider Legendary Dry,10.99,4.7,3,Cider,"Massachusetts, United States",Craft,6.5%,,"Acidic, Apple, Balanced, Bright, Crisp, Dry, Fresh","Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cured Meats, Pasta, Shellfish","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
Vizzy Hard Seltzer Lemonade Variety Pack,19.54,4.8,2,Hard Seltzer,"Tennessee, United States",Variety Pack,5%,,"Berry, Fresh, Fruity, Peach, Watermelon",,Snifter/Goblet/Chalice,40-45° F,100,,Gluten-Free
Prost Pilsner,10.99,4.7,2,Pilsner,"Colorado, United States","Craft, Independent Craft Brewer",4.9%,35,"Bright, Crisp, Floral, Grassy",,Pilsner Glass,40-45° F,150,,
Avery Maharaja Imperial IPA,8.99,4.8,4,Imperial / Double IPA,"Colorado, United States","Independent Craft Brewer, Craft",10%,102,"Strong, Malty, Hoppy, Thick","Cheese - Nutty & Semi-Firm, Pork",Snifter/Goblet/Chalice,50-55° F,,,
Avery IPA,10.99,4.9,1,IPA,"Colorado, United States","Independent Craft Brewer, Craft",6.5%,69,"Bitter, Hoppy, Pine, Herbal","Fruit - Sweet, Tomatoes","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Avery Brewing White Rascal,11.99,4.8,5,Witbier,"Colorado, United States","Independent Craft Brewer, Craft",5.6%,22,"Creamy, Citrus, Yeasty","Duck & Game Bird, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,
Austin Eastciders Pineapple Cider,10.99,4.8,11,Cider,"Texas, United States","Craft, Independent Craft Brewer",5%,1,"Apple, Dry, Fresh, Tropical Fruit","Cheese - Fresh & Soft, Salads & Greens","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,"Gluten Reduced, Kosher"
Jack's Abby Post Shift Pilsner,10.99,4.8,3,Pilsner,"Massachusetts, United States","Craft, Independent Craft Brewer",4.7%,30,"Balanced, Biscuit, Bright, Crisp, Dry, Grainy, Light, Minerality","Cheese - Blue, Cheese - Stinky, Nuts, Pasta, Pork, Shellfish",Pilsner Glass,40-45° F,,,
Singlecut 18 Watt IPA,23.0,4.8,4,Session IPA,"New York, United States",Craft,5%,82,,,Pint Glass,45-50° F,,,
Dos Equis Ranch Water Variety,19.99,,,Variety Pack Beer,Mexico,,4.5%,,,,,,,,
Tecate Alta,3.99,5,3,American-Style Lager,Mexico,,4%,5,"Balanced, Crisp",,Pilsner Glass,35-40° F,85,2.4,
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
Tecate,12.99,4.6,37,American-Style Lager,Mexico,,4.5%,14,"Light, Grainy, Bready, Bright","Chicken, Salads & Greens",Pint Glass,35-40° F,,,
White Claw Hard Seltzer Surge Blackberry,2.75,4.4,2,Hard Seltzer,"Illinois, United States",,8%,,"Berry, Crisp, Sweet, Tart",,Snifter/Goblet/Chalice,40-45° F,,,Gluten Reduced
Smirnoff Ice Watermelon Mimosa,10.44,4.5,11,Malt Liquor,United States,,5.8%,,"Flavored, Watermelon, Sweet, Acidic",Nuts,Pint Glass,35-40° F,,,
Lone River Spicy Ranch Water,10.99,4.7,5,Hard Seltzer,"Texas, United States",,4%,,,,Snifter/Goblet/Chalice,40-45° F,80,3,
Spaten Premium Lager,11.99,4.5,5,Helles Lager,Germany,,5.2%,21,"Bitter, Grainy, Bready","Cured Meats, Fish - Meaty & Oily","Pint Glass, Stein/Pub Mug",40-45° F,,,
Lone Pint Yellow Rose Smash IPA,12.62,5,3,IPA,"Texas, United States",Craft,6.8%,62,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Sierra Nevada Atomic Torpedo Juicy West Coast IPA,3.99,,,IPA,"California, United States","Craft, Independent Craft Brewer",9.2%,50,"Bold, Citrus, Crisp, Fruity, Pine, Smooth",,Snifter/Goblet/Chalice,45-50° F,,,
Cisco Brewers Beach Box Variety Pack,18.99,4.8,1,Variety Pack Beer,"Massachusetts, United States",Variety Pack,5.5%,,"Citrus, Crisp, Fresh, Grapefruit, Light","Beef, Chicken, Fish - Meaty & Oily, Fish - White",,,,,
Voodoo Ranger Imperial IPA,12.99,4.7,77,Imperial / Double IPA,"Colorado, United States",Craft,9%,70,"Bitter, Citrus, Hoppy, Strong","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Fish - Meaty & Oily, Mushrooms, Root Vegetables",Snifter/Goblet/Chalice,50-55° F,250,17,Kosher
Kona Spiked Island Seltzer Variety,19.49,4.7,9,Hard Seltzer,"Hawaii, United States",Variety Pack,4.2%,,,,Snifter/Goblet/Chalice,40-45° F,100,,Gluten Reduced
Corona Hard Seltzer Seltzerita Variety Pack Gluten Free Spiked Sparkling Water,19.99,4.6,1,Hard Seltzer,Mexico,Variety Pack,6%,,,,Snifter/Goblet/Chalice,40-45° F,90,3,Gluten-Free
Four Loko Strawberry Lemonade,3.29,4.3,7,Hard Lemonade,"Illinois, United States",,12%,,,,,,,,
Trumer Pils,10.99,4.8,6,Pilsner,Austria,,4.9%,26,"Crisp, Dry, Grainy, Biscuit","Nuts, Root Vegetables",Pilsner Glass,40-45° F,,,
Deschutes Fresh Haze IPA,12.5,4.6,11,New England / Hazy IPA,"Oregon, United States",Craft,6.5%,45,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Karbach Ranch Water Hard Seltzer Variety,19.49,4.4,3,Hard Seltzer,"Texas, United States","Craft, Variety Pack",4.5%,,,,Snifter/Goblet/Chalice,40-45° F,90,1,Gluten-Free
Citizen Cider Unified Press,8.99,4.9,3,Cider,"Vermont, United States","Craft, Independent Craft Brewer",5.2%,,"Apple, Balanced, Crisp, Silky, Smooth","Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Pork","Pint Glass, Snifter/Goblet/Chalice",45-50° F,146,12,Gluten-Free
Four Loko Peach,3.39,4.5,1,Malt Liquor,"Illinois, United States",,12%,,,,Pint Glass,35-40° F,,,
Citizen Cider The Lake Hopper,4.25,4.9,4,Cider,United States,"Craft, Independent Craft Brewer",6.2%,15,"Apple, Hoppy, Dry","Cured Meats, Pork","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten-Free
Seagram's Escapes Calypso Colada,5.99,4.7,9,Malt Liquor,United States,,3.2%,,,,Pint Glass,35-40° F,,,
Downeast Seasonal Cider - Pineapple,11.99,4.4,19,Cider,"Massachusetts, United States","Craft, Independent Craft Brewer, Seasonal",5.1%,,"Apple, Sweet, Tropical, Tropical Fruit","Cheese - Fresh & Soft, Fish - White","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Carlsberg Elephant Strong,12.98,4.7,6,Pilsner,Denmark,,7.2%,28,"Balanced, Bitter, Caramel, Hoppy, Malty, Smooth, Strong","Beef, Cured Meats","Pint Glass, Stein/Pub Mug, Snifter/Goblet/Chalice",50-55° F,,,
SweetWater IPA,10.99,4.8,4,IPA,"Georgia, United States",Craft,6.3%,50,"Hoppy, Pine, Grapefruit, Dry","Cured Meats, Salads & Greens","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Dogfish Head 120 Minute IPA,11.37,4.8,12,Imperial / Double IPA,"Delaware, United States",Craft,17.5%,120,"Strong, Syrupy, Dried Fruit, Malty","Dessert - Fruit, Pork",Snifter/Goblet/Chalice,50-55° F,,,
Heineken Light,18.99,4.5,43,Light Lager,Netherlands,,3.3%,12,"Bready, Dry, Light","Salads & Greens, Chicken",Pint Glass,35-40° F,99,6.8,Gluten Reduced
Tecate Light,13.99,4.6,11,Light Lager,Mexico,,3.9%,7,"Crisp, Dry, Light","Nuts, Chicken",Pint Glass,35-40° F,110,7.9,
Red Stripe,15.99,4.8,33,Pale Lager,Jamaica,,4.7%,23,"Light, Dry, Grainy",Nuts,Pint Glass,40-45° F,,,
Community Beer Co. Mosaic IPA,12.99,4.9,4,IPA,"Texas, United States",Independent Craft Brewer,8.6%,85,"Malty, Hoppy, Fruity, Tropical Fruit","Cured Meats, Nuts","Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Redd's Wicked Apple Ale,3.69,4.4,2,Fruit Beer,"Georgia, United States",,8%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Four Loko Sour Grape,3.69,4.6,1,Malt Liquor,United States,,14%,,,,Pint Glass,35-40° F,,,
Dos Equis Lager Lime & Salt,10.69,4.6,6,Pale Lager,Mexico,,4.2%,10,"Citrus, Flavored, Fruity, Light",,,,135,12,
Dos Equis Ranch Water Hard Seltzer,11.37,4.5,1,Hard Seltzer,Mexico,,4.5%,1,"Citrus, Crisp, Flavored",,Snifter/Goblet/Chalice,40-45° F,90,0,
Voodoo Ranger Juicy Haze IPA,12.69,4.8,29,New England / Hazy IPA,"Colorado, United States",Craft,7.5%,42,"Creamy, Hoppy","Cheese - Blue, Cheese - Creamy & Bloomy, Dessert - Vanilla & Caramel, Fish - Meaty & Oily, Mushrooms, Root Vegetables","Pint Glass, Snifter/Goblet/Chalice",45-50° F,230,16,Kosher
Fremont Lush IPA,13.49,4.8,1,IPA,"Washington, United States",Craft,7%,80,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Mighty Squirel Double Cloud Candy,17.99,,,Imperial / Double IPA,"Massachusetts, United States",,7.8%,,,,Snifter/Goblet/Chalice,45-50° F,,,
Coney Island Mermaid Pilsner Beer,13.79,4.5,5,Pilsner,"New York, United States",Independent Craft Brewer,5.2%,30,"Light, Crisp, Biscuit","Nuts, Beef",Pilsner Glass,40-45° F,,,
Bent Water Sluice Juice New England IPA,14.99,4.7,7,New England / Hazy IPA,"Massachusetts, United States","Craft, Independent Craft Brewer",6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Tsingtao,20.59,4.8,8,Light Lager,China,,4.8%,25,"Dry, Grainy, Light, Malty","Duck & Game Bird, Chicken",Pint Glass,35-40° F,157,12,
Burlington It's Complicated Being A Wizard IPA,17.99,,,Imperial / Double IPA,"Vermont, United States",,8%,50,,,Snifter/Goblet/Chalice,45-50° F,,,
"Founders All Day Haze, Session Hazy IPA Beer",18.99,3.8,4,Session IPA,"Michigan, United States","Craft, Seasonal",4.9%,,"Bright, Floral, Fruity, Guava, Nectarine, Peach, Pineapple, Tropical, Yeasty","Cheese - Fresh & Soft, Chicken, Dessert - Chocolate & Coffee, Dessert - Fruit, Fish - White, Fruit - Citrus, Nuts, Pork, Salads & Greens, Shellfish, Tomatoes, Turkey",Pilsner Glass,40-45° F,150,11.2,
Cayman Jack Moscow Mule,10.99,4.6,9,Malt Liquor,"Illinois, United States",,5.8%,,Citrus,Chicken,Pint Glass,35-40° F,,,
Voodoo Ranger Juice Force Hazy Imperial IPA,12.99,4.5,42,Imperial / Double IPA,"Colorado, United States",Craft,9.5%,30,"Citrus, Fruity, Hoppy, Passionfruit","Beef, Cheese - Blue, Cheese - Creamy & Bloomy, Cheese - Fresh & Soft, Cheese - Hard Aged, Cheese - Nutty & Semi-Firm, Cheese - Stinky, Cured Meats, Root Vegetables, Salads & Greens",Snifter/Goblet/Chalice,45-50° F,,,Kosher
COOP Ale Works F5 IPA,10.07,,,IPA,"Oklahoma, United States",,7.1%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Sol Cerveza Mexican Import Lager Beer,10.49,4.8,7,American-Style Lager,Mexico,,4.5%,,"Light, Crisp, Grainy","Nuts, Shellfish",Pint Glass,35-40° F,,,
Wiseacre Ananda IPA,10.99,4.9,2,IPA,United States,Craft,6.2%,75,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Stowe High and Dry Hard Cider,13.99,4.8,4,Cider,"Vermont, United States",,6.5%,,,,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,Gluten Reduced
Left Hand Peanut Butter Milk Stout,13.99,4.7,5,Milk Stout,"Colorado, United States","Craft, Independent Craft Brewer",6%,25,"Chocolate, Coffee, Creamy, Flavored, Malty, Mocha, Rich, Roasted, Smooth, Toasty",,Pint Glass,45-50° F,,,
"Cape May Brewing Co., Cape May White (Belgian-Style Wheat Ale)",13.99,4.7,2,Witbier,"New Jersey, United States",Craft,5.2%,11,Citrus,"Fish - Meaty & Oily, Fish - White, Fruit - Citrus",Snifter/Goblet/Chalice,45-50° F,,,
Oskar Blues Double Dale's Imperial IPA,32.49,4.7,1,Imperial / Double IPA,"Colorado, United States",,9%,,,,Snifter/Goblet/Chalice,45-50° F,,,
TRULY Hard Seltzer Classic Lime Margarita Style,11.99,4.4,2,Hard Seltzer,United States,,5.3%,,"Citrus, Crisp, Salty, Sour, Sweet",,Snifter/Goblet/Chalice,40-45° F,,,Gluten-Free
Revolution Hazy Hero IPA,10.99,4.6,3,New England / Hazy IPA,"Illinois, United States","Craft, Independent Craft Brewer, Seasonal",7.3%,50,"Citrus, Fruity, Hoppy, Smooth",,"Pint Glass, Snifter/Goblet/Chalice",45-50° F,,,
Beer'd Dogs & Boats,17.59,4.9,1,Imperial / Double IPA,"Connecticut, United States",,9.1%,67,,,Snifter/Goblet/Chalice,50-55° F,,,
Sixpoint Sweet Action,9.99,4.6,4,Cream Ale,"New York, United States","Craft, Independent Craft Brewer",5%,40,"Apricot, Biscuit, Caramel, Citrus, Floral, Stone Fruit","Cheese - Fresh & Soft, Dessert - Vanilla & Caramel, Pork, Root Vegetables, Shellfish",Pint Glass,45-50° F,,,
